lesson_title,cefr_level,uuid,grammar_tags,vocabulary_tags,learning_language,content_type
Comparative (German),C2,a149d9dd-9686-43c3-9466-62f14f919b57,"adjective:comparative, verb:infinitive","bikes, greetings_goodbyes, childhood, weather_climate, compliments",German,Live
Interjections 3 (German),B2,ed77c567-5eb9-459f-b907-0fc687d28ab4,interjection,"body, dishes, beverages",German,Live
Formal and possessive pronouns (German),A1,c473d904-aa59-4ffc-97e8-ab3568344d91,"conjunction, pronoun:formal_pronoun, pronoun:possessive",house_rooms,German,section
Irregular (German),C1,49fc9c63-07aa-464a-a988-ec56b904e447,"verb:irregular, pronoun:stressed, noun:appreciative_derivation","plants, accidents_catastrophes, childhood, crime_law, furniture_decor",German,by_yourself
Conjunctions 5 (German),B2,dac995d5-1095-477b-a178-5297286d92e1,conjunction,public_transit_trains,German,by_yourself
Future tense (German),A2,50367da7-4731-496c-9140-96f030ebd38c,verb:future_tense,religions,German,section
Superlative (German),B2,ff152a63-918c-461e-b062-b230f164e8fa,"adjective:superlative, noun:gender","job_applications, greetings_goodbyes, sweets_desserts",German,section
Impersonal (German),C1,2e53b938-531b-4ead-a60a-eca7cb42ef05,"pronoun:impersonal, pronoun:relative","hotels_accomodation, outdoors",German,Live
Superlative (German),C2,0ef78cde-83d4-4b70-ad38-4ce97fd09f84,"adverb:superlative, noun:appreciative_derivation","argumentation, shopping, accidents_catastrophes, money_banking",German,by_yourself
Indirect object (German),B2,eed73878-e84c-466a-844b-4e30ac6919a7,"pronoun:indirect_object, adjective:superlative, pronoun:possessive","environmental_issues, childhood, plants, hobbies_games, devices_tools_gadgets",German,by_yourself
Gender (German),A1,3046f9f0-2518-480f-bf4b-e04568b2f4ce,"noun:gender, pronoun:stressed, verb:passive_voice","personality_traits, materials, school_classroom, sweets_desserts, dishes",German,Live
Auxiliary (German),B1,0833eabb-5490-494e-bf36-94856e2c11e3,"verb:auxiliary, verb:imperfect_aspect, determiner:indefinite_article","colors, polite_expressions, crime_law, week_dates",German,Live
Informal pronoun (German),A2,22a30474-326c-4c2d-af86-486fb2f072b5,"pronoun:informal_pronoun, noun:genitive_case","going_out, death, animals_wild",German,by_yourself
Interrogative (German),A1,1fcc3bba-682a-4006-b5d1-3fb4084cfa47,pronoun:interrogative,"media, numbers",German,Live
Genitive case (German),C1,6a0dcff0-079f-44a3-8325-0e93c1249cb8,noun:genitive_case,"nature_landscapes, friends, sweets_desserts, greetings_goodbyes, body",German,section
Partitive article (German),B1,6d399a61-2dfd-47cf-9913-b5da92dff608,"determiner:partitive_article, pronoun:indefinite, pronoun:impersonal","greetings_goodbyes, hotels_accomodation, plants",German,by_yourself
Dative case (German),A1,017d8ea5-2fd9-4565-9084-f0ceae1cf25c,noun:dative_case,"job_applications, cooking_tableware, countryside",German,section
Prepositions (German),C2,ee9685d1-53ab-41cc-9f25-d874023b4e7b,preposition,"physical_appearance, cars, polite_expressions, going_out",German,Live
Definite form (German),C2,912ce901-2b9f-438f-8a7c-bc304cad5c9b,"noun:definite_form, verb:past_tense",groceries_fruits_vegetables,German,section
Indefinite form (German),A1,a9f29b6e-24d6-4b54-9f36-7e85b1b4d18f,"noun:indefinite_form, interjection, pronoun:adverbial","film_tv, nations_geography",German,cards
Gender (German),C1,1c028ca0-9ce4-4b76-8f73-36f5250036ed,"noun:gender, verb:gerund",furniture_decor,German,section
Prepositions 2 (German),C2,28dfab3f-538b-49a8-8765-f7385435d314,preposition,"week_dates, music",German,section
Present tense (German),C2,61e95f58-70d6-476f-9788-44ed32b1544c,"verb:present_tense, determiner:definite_article, verb:future_tense","house_rooms, shapes",German,cards
Plural (German),C1,07952907-94b9-44c0-9b25-cf1c9b102327,noun:plural,"university_academia, outdoors, measurement_quantities, literature, planes_airports",German,by_yourself
Past tense (German),C2,b75d4b75-c4f3-4043-b869-73ebdee48718,verb:past_tense,"town_city, natural_sciences, hygiene_cosmetics, childhood",German,section
Indefinite pronouns (German),A1,ae229818-0bc3-483c-ae6b-7cebaedf2920,"number_ordinal, pronoun:indefinite","film_tv, university_academia, appliances, money_banking",German,by_yourself
Cardinal numbers and animals (German),A1,db7f10ab-ed90-4b3c-8d5d-21fb9fffde95,"number_cardinal, adverb","animals_wild, locations_directions",German,cards
Absolute superlative (German),B2,eb9db277-ae6e-4a38-9464-a08f3f156fe4,"adjective:absolute_superlative, interjection, verb:gerund","shapes, religions, yard_garden",German,section
Appreciative derivation (German),A1,5b2ba766-b9f3-47b8-915a-606daccb44ff,noun:appreciative_derivation,"body, town_city, devices_tools_gadgets, materials, public_transit_trains",German,by_yourself
Gender (German),B1,e9f5ac77-d645-4c46-b65a-f961d7aeb073,noun:gender,groceries_fruits_vegetables,German,cards
Subjunction and cardinal numbers (German),A2,5b59ccdc-84c8-439f-95fe-b06a3d31d996,"number_cardinal, verb:subjunctive_mood",going_out,German,by_yourself
Stressed (German),B1,4f93bd4d-9b1d-45c6-858a-7093b7388a78,"pronoun:stressed, pronoun:relative","media, phones, theater_shows, space",German,cards
Indirect object (German),A1,9e986486-e74b-4b84-91c0-c24cf7544dac,"pronoun:indirect_object, pronoun:interrogative, pronoun:possessive",nature_landscapes,German,Live
Impersonal (German),B1,6b3f8519-6046-4f8b-b3ae-252d20507480,"pronoun:impersonal, verb:gerund","public_transit_trains, traditions_celebrations",German,Live
Demonstrative (German),B1,11c2d8af-f055-4a7f-9bd0-14e759a06925,"determiner:demonstrative, pronoun:relative, noun:appreciative_derivation","house_rooms, university_academia",German,by_yourself
Present tense (German),C1,63823e27-6b71-42cf-861a-2e29cc81ceb6,verb:present_tense,"art_design, love, money_banking, week_dates",German,section
Definite form (German),C1,e27752a6-5620-4f8c-9c2e-30f9ab2c9249,"noun:definite_form, pronoun:stressed, adjective","old_age, plants",German,by_yourself
Subjunctive mood (German),A2,64705f9a-3a28-4d62-b843-46dfe8840f3b,verb:subjunctive_mood,"house_rooms, nature_landscapes, measurement_quantities, professions, argumentation",German,Live
Absolute superlative (German),A2,6cbbe679-2d77-4dad-a8e1-d973aa76224d,"adjective:absolute_superlative, adjective","crime_law, senses, cooking_tableware, public_transit_trains, colors",German,by_yourself
Superlative (German),B1,12447d31-03f8-4c94-8531-b9279bff1052,"adjective:superlative, adverb","non_understanding, locations_directions, old_age",German,section
Reflexive (German),C1,98629ead-f681-42fd-8e24-ddee84c23359,"pronoun:reflexive, verb:conditional_mood","personality_traits, art_design, money_banking, professions, physical_appearance",German,section
Adjectives 5 (German),C2,866a0e74-2919-40b9-a81d-eeecb24188be,adjective,"work_life, countryside",German,cards
Relative pronouns (German),A1,04127feb-efd8-460d-b434-894a7540127f,"adverb, pronoun:relative","family, bikes, adulthood, planes_airports",German,Live
Infinitive (German),C1,3d96a7f7-d8e0-4530-a5b6-2a55fed69a88,"verb:infinitive, number_ordinal, interjection","politics, nature_landscapes, senses, cooking_tableware, beverages",German,Live
Informal pronoun (German),C2,005cd231-f697-4893-a45b-cf034dbeb75c,"pronoun:informal_pronoun, noun:definite_form",measurement_quantities,German,Live
Conditional mood (German),C2,9a399e07-4513-4aab-88b6-6e0e2ca84bf7,"verb:conditional_mood, pronoun:interrogative, verb:modal","outdoors, groceries_fruits_vegetables, internet",German,by_yourself
Superlative (German),B2,b3f9a2b8-1b1b-45e5-8e22-46f12515f4d6,adverb:superlative,"shapes, work_life, shopping, emotions_states",German,section
Conditional mood (German),B2,f46ff40d-cd81-4d8c-bb1c-1d0bc3bb2baf,"verb:conditional_mood, verb:gerund","groceries_animal_products, adulthood, politics, university_academia, vacation",German,by_yourself
Interrogatives (Spanish),C1,1518299a-68d2-4107-8dde-0fddcfa6dd1c,pronoun:interrogative,"phones, emotions_states",Spanish,section
Absolute superlative (Spanish),B1,7fc79d3c-2ad5-447a-b558-bb84bafb8588,"adjective:absolute_superlative, verb:future_tense","space, nations_geography, outdoors, locations_directions, traditions_celebrations",Spanish,cards
Prepositions and pronouns (Spanish),A2,f7a138cf-ce9b-4540-a1ee-eba16e5fff5e,"preposition, pronoun:impersonal","non_understanding, week_dates, hobbies_games, love",Spanish,Live
Progressive aspect (Spanish),B1,0d51f1c4-4a33-4b5f-b529-921152b45e35,verb:progressive_aspect,"materials, university_academia, emotions_states",Spanish,by_yourself
Comparatives (Spanish),A1,449f2240-e3c3-4646-98e6-30706db887fb,"adjective:comparative, adverb","public_transit_trains, locations_directions",Spanish,cards
Irregular verbs (Spanish),B1,3465696c-67c0-4ed6-aac0-047b6f526e0d,"verb:irregular, verb:conditional_mood, noun:definite_form","outdoors, groceries_fruits_vegetables, locations_directions, furniture_decor",Spanish,by_yourself
Syntax (Spanish),C1,f4a47347-452f-4be8-9374-19a9da6fe81d,"sentence:syntax, verb:infinitive","media, religions, money_banking, town_city, emotions_states",Spanish,section
Superlatives (Spanish),C1,5c9c9586-5dee-4dea-957d-5e30e4dc53de,"adverb:superlative, determiner:definite_article","love, adulthood",Spanish,Live
Indefinite form (Spanish),B1,f01f3e57-1b7f-4f01-92e4-9dbc0654e580,noun:indefinite_form,"dishes, bikes",Spanish,Live
Conditional mood (Spanish),B2,781201ee-c125-451c-adf5-a520fd64472a,verb:conditional_mood,"university_academia, theater_shows, crime_law, bikes, weather_climate",Spanish,section
Partitive article (Spanish),A2,65944732-9f8b-4546-b661-689ab63ed914,determiner:partitive_article,"clock_time_of_day, religions, shopping, computers_hardware",Spanish,by_yourself
Adjectives (Spanish),C1,30b685b0-e508-439c-a310-1d3053bb55df,adjective,money_banking,Spanish,cards
Adjectives and present (Spanish),C1,0d7b4265-b4fd-4a68-b2bb-5fbb1c4ca2c2,"adjective, verb:present_tense",music,Spanish,by_yourself
Participle (Spanish),C2,7b0aa156-a756-424e-ad58-499e037777ce,verb:participle,"town_city, literature, numbers, public_transit_trains",Spanish,section
Participle (Spanish),A2,bdb9a14f-23d0-4895-a35a-f9e30a2fe910,"verb:participle, determiner:demonstrative, adverb:comparative","film_tv, job_applications, clock_time_of_day, numbers, hygiene_cosmetics",Spanish,cards
Nouns and prepositions (Spanish),C1,bff30589-f388-479e-a075-d61e98a5ab3b,"preposition, noun:definite_form, noun:appreciative_derivation","appliances, emotions_states",Spanish,cards
Possessive (Spanish),C1,8e7a2f08-c0ab-4afb-a1e7-35d40d196899,"pronoun:possessive, pronoun:reflexive, determiner:definite_article","media, yard_garden, furniture_decor, space, week_dates",Spanish,section
Modal (Spanish),B1,737aca6b-e73c-4879-a167-0690f78204bd,"verb:modal, adjective:comparative","bikes, family",Spanish,section
Dative case (Spanish),A2,b12444c4-ab9e-43bf-a3c2-a6bf475fcd80,"noun:dative_case, sentence:interrogative, pronoun:demonstrative","university_academia, hygiene_cosmetics",Spanish,Live
Gender (Spanish),B1,0dd1ac20-e5da-4054-8c8a-3fc9ea7fe98b,noun:gender,"old_age, numbers, sweets_desserts, public_transit_trains, literature",Spanish,by_yourself
Conjunctions (Spanish),C1,fc58548a-e992-4c3a-a1ee-ebcd3237dbfb,"conjunction, sentence:interrogative, verb:participle","computers_hardware, nature_landscapes, furniture_decor",Spanish,cards
Singular (Spanish),C2,73c3c16e-abcd-468d-b7fc-7b8dc3edada3,"noun:singular, sentence:interrogative","polite_expressions, planes_airports, dishes, film_tv",Spanish,section
Adverbs and gender (Spanish),B2,77a40766-3dd0-47fe-af05-1832c3636080,"adverb, noun:gender, verb:auxiliary","old_age, groceries_fruits_vegetables",Spanish,section
Superlative (Spanish),A2,31cbaea2-217b-4524-884f-6481a9ad602e,adverb:superlative,religions,Spanish,section
Direct object (Spanish),A2,2349963e-91a0-43ad-9f0e-4e18be91489d,"pronoun:direct_object, verb:future_tense","public_transit_trains, family, countryside, traveling",Spanish,cards
Informal pronoun (Spanish),C2,25048e68-e75d-42fa-adf2-fd04378fa8e9,"pronoun:informal_pronoun, verb:imperfect_aspect, verb:conditional_mood","measurement_quantities, non_understanding, appliances",Spanish,by_yourself
Appreciative derivation (Spanish),B1,39eca631-9957-4464-8f6f-ede3d0c7b344,"noun:appreciative_derivation, noun:genitive_case, pronoun:direct_object",business,Spanish,by_yourself
Interjections (Spanish),C1,7b8d1827-9b5e-43e8-8866-df9379b2f6f2,"interjection, verb:finite","routines_habits, argumentation, traveling, family",Spanish,Live
Progressive aspect (Spanish),B2,92a900d5-3baa-4b7d-bf36-4b690ed67756,verb:progressive_aspect,"town_city, beverages, natural_sciences, clothes_shoes, compliments",Spanish,section
Dative case (Spanish),C1,a09d902d-fb7f-4c49-b59a-099b6493e6fd,"noun:dative_case, noun:appreciative_derivation, verb:modal","phones, art_design, internet, languages, physical_appearance",Spanish,by_yourself
Definite form (Spanish),C1,9dca9a03-964f-4183-bf95-f016de76610e,noun:definite_form,"hygiene_cosmetics, devices_tools_gadgets, groceries_fruits_vegetables, animals_wild",Spanish,section
Interrogative (Spanish),C1,8e766380-1c04-4624-816b-a7daf9ac067a,"sentence:interrogative, preposition","emotions_states, body",Spanish,section
Stressed (Spanish),C2,b72946d1-337a-4a2b-b685-ac182d4da6b7,pronoun:stressed,"week_dates, phones",Spanish,cards
Gender (Spanish),B1,8a9d0eec-fb51-4994-a8fc-ad83bb254606,noun:gender,"house_rooms, university_academia, dining_restaurants, body",Spanish,section
Comparative (Spanish),C2,0791e0ac-c1fa-48b7-b7bf-84de55f0812f,adverb:comparative,"public_transit_trains, crime_law, hotels_accomodation",Spanish,section
Numbers (Spanish),B2,c3389cd2-dd52-457f-9e1f-a674a1c6c359,"number_cardinal, noun:dative_case, adjective:comparative","physical_appearance, compliments",Spanish,section
Progressive aspect (Spanish),C2,c8f9536f-404b-4811-9919-a653a4bca69c,verb:progressive_aspect,"childhood, space, countryside",Spanish,cards
Finite (Spanish),C1,c416b33a-ba98-43b9-9b3d-365c6f5d2b66,"verb:finite, determiner:indefinite_article, pronoun:stressed",hygiene_cosmetics,Spanish,cards
Participle (Spanish),C2,6eb33cb7-43cb-49e2-b363-40b3b32073a9,verb:participle,"film_tv, personality_traits, hygiene_cosmetics, dining_restaurants, art_design",Spanish,by_yourself
Gender (Spanish),C1,cab84718-3803-47de-b61a-63d2e022d206,noun:gender,"nations_geography, theater_shows, groceries_fruits_vegetables, natural_sciences, shopping",Spanish,section
Interrogative (Spanish),A2,fe1d67a2-c034-4fc8-864c-6a73c22bbec6,"sentence:interrogative, verb:auxiliary","measurement_quantities, theater_shows, emotions_states, colors, nations_geography",Spanish,cards
Singular (Spanish),A2,3013f6df-359b-44c9-9702-3521ad332164,"noun:singular, verb:finite","vacation, accidents_catastrophes, personality_traits, sports_exercise",Spanish,by_yourself
Passive voice (Spanish),A2,ad580ee6-4169-47a6-8323-bb278917818e,verb:passive_voice,"shapes, groceries_grains",Spanish,Live
Ordinal numbers (Spanish),A2,dab713c6-d4c9-4cbf-82ac-df3e8a8e6232,number_ordinal,"art_design, hobbies_games, sports_exercise, illness_injury, friends",Spanish,Live
Prepositions and adjectives (Spanish),A2,64368848-5f13-4f0b-97ce-0666dc1c1bc1,"preposition, adjective:superlative, pronoun:possessive","personality_traits, media, outdoors",Spanish,Live
Infinitive (Spanish),B1,9b512769-9d0f-464f-8796-4d8c559ecb2a,"verb:infinitive, verb:future_tense, noun:plural","dining_restaurants, colors, university_academia",Spanish,Live
Infinitive (Spanish),C1,154a328e-b74d-4fb3-973d-9117483c9804,verb:infinitive,"film_tv, shopping, shapes, planes_airports",Spanish,Live
Cardinal numbers and weather (Spanish),A1,1fcce7ae-ab7d-43ac-9e0f-ba1956dd8daf,"number_cardinal, verb:auxiliary",weather_climate,Spanish,by_yourself
Indefinite form (Spanish),B1,326c0dad-1791-4744-bc6e-1e404523b626,"noun:indefinite_form, determiner:indefinite_article, pronoun:personal","literature, theater_shows",Spanish,Live
Prepositions and possessives (Spanish),B1,58c12eb5-58eb-4059-be51-7c1924b78ec5,"preposition, pronoun:possessive, verb:passive_voice","groceries_fruits_vegetables, dining_restaurants, week_dates",Spanish,section
Nominative case (Spanish),A2,7cf13647-8de7-4137-904e-fb6ceaa7b643,noun:nominative_case,"personality_traits, numbers",Spanish,by_yourself
Gender (Spanish),C1,99931fc8-8a49-4e0d-bfc4-978ec4d91b7e,"noun:gender, adjective:superlative","accidents_catastrophes, week_dates, illness_injury",Spanish,cards
Impersonal (Spanish),C1,0b4fcbce-e1fd-4ce2-b248-c454b53e797c,"pronoun:impersonal, verb:infinitive, verb:finite","music, crime_law, animals_wild",Spanish,by_yourself
Genitive case (Spanish),A2,b88ec64d-6704-4b22-8289-9522f657af16,"noun:genitive_case, verb:gerund, noun:dative_case","town_city, furniture_decor, colors, plants",Spanish,cards
Plural (Spanish),C2,c7e71239-0c71-4c7d-b431-1c4e387f3bbc,"noun:plural, verb:future_tense","compliments, non_understanding, vacation, polite_expressions, music",Spanish,cards
Plural (Spanish),A2,78c057ee-2cc3-4b52-9915-f1554aa77581,noun:plural,"love, clock_time_of_day, death, house_rooms, phones",Spanish,by_yourself
Gender (Spanish),C2,2fb1073c-de1a-4ecb-8264-d7d8701c43a8,noun:gender,"religions, dining_restaurants, non_understanding, body, weather_climate",Spanish,cards
Finite (Spanish),C1,4c7c0c8f-cf15-4694-876c-876890d091ef,"verb:finite, pronoun:indefinite, noun:accusative_case",nations_geography,Spanish,Live
Indefinite (Spanish),C2,9bab245d-10dc-4020-b8c8-06679563514b,"pronoun:indefinite, noun:dative_case, sentence:syntax","shapes, space, routines_habits, personality_traits",Spanish,cards
Modal (Spanish),A2,b7ed7370-6af3-4a1d-9f22-b2207224f10a,"verb:modal, pronoun:indefinite, noun:gender","film_tv, phones, hygiene_cosmetics, space, bikes",Spanish,Live
Dative case (Spanish),C2,4ce97fd9-ce43-44d1-be47-ae25f13f121e,"noun:dative_case, noun:appreciative_derivation, determiner:definite_article","body, housework, colors",Spanish,cards
Possessive (Spanish),A1,3c8f574e-3e2e-44e6-aa88-d12bbe13d037,pronoun:possessive,"religions, body",Spanish,section
Past tense (Spanish),C2,90663256-c174-4c2f-a3cb-9e67c65dbb79,"verb:past_tense, verb:imperfect_aspect","measurement_quantities, phones, professions",Spanish,by_yourself
Present tense (Spanish),C1,31a5a254-1b71-4e03-b0e4-c59b99bbb66c,"verb:present_tense, adjective:superlative","senses, animals_domesticated, polite_expressions, clothes_shoes",Spanish,section
Dative case (Spanish),C1,d49396f1-0535-4a01-b112-0d63b8d20a76,"noun:dative_case, sentence:syntax","colors, old_age, outdoors, weather_climate",Spanish,section
Absolutes and prepositions (Spanish),A2,e4ddc946-b6f8-455b-bb35-a94232fe1dea,"preposition, adjective:absolute_superlative",routines_habits,Spanish,section
Finite (Spanish),B2,1e172e50-ab87-4e9b-930c-67e1691d8fde,"verb:finite, verb:auxiliary, number_cardinal","countryside, dining_restaurants, cooking_tableware",Spanish,cards
Syntax (Spanish),C1,b5d11f53-b227-4b60-a05a-04baecc46e32,sentence:syntax,"friends, clock_time_of_day, colors",Spanish,Live
Demonstrative (Spanish),B1,5c89ffc5-5b05-40cc-b1b8-0b7d986f33dc,"determiner:demonstrative, adjective:absolute_superlative","animals_domesticated, materials, dishes, colors, accidents_catastrophes",Spanish,by_yourself
Indefinite form (Spanish),A2,69be2105-3ea4-4113-9817-7dd9c64fa840,"noun:indefinite_form, determiner:possessive, pronoun:formal_pronoun",physical_appearance,Spanish,section
Present tense (Spanish),C1,b77fa916-9741-4f7b-9a86-d6c531643967,"verb:present_tense, determiner:indefinite_article",dishes,Spanish,by_yourself
Ordinal numbers 2 (Spanish),B1,708ebe3a-3dab-479e-b58a-5a1435323633,number_ordinal,"devices_tools_gadgets, clock_time_of_day",Spanish,Live
Superlative (Spanish),A2,e0374924-8a91-4861-9919-919938231875,"adjective:superlative, adjective:comparative","art_design, senses, nature_landscapes, appliances, argumentation",Spanish,by_yourself
Stressed (Spanish),C1,7aa71182-6f45-4c45-a9d7-fca4f2ad6f60,"pronoun:stressed, pronoun:formal_pronoun, noun:nominative_case",theater_shows,Spanish,section
Indefinite (Spanish),B2,e1fb8b97-6903-42f2-b947-d7412a7426c5,"pronoun:indefinite, verb:participle, determiner:partitive_article","sweets_desserts, friends",Spanish,Live
Definite form (Spanish),C2,6b68afe4-f43a-485d-bcd4-dcbe935c3ec0,"noun:definite_form, noun:appreciative_derivation",describing_objects,Spanish,Live
Nominative case (Spanish),C2,227e74a8-b353-4fb2-93a2-c38621d3dc0e,noun:nominative_case,"languages, traditions_celebrations, old_age, groceries_fruits_vegetables, adulthood",Spanish,by_yourself
Auxiliary (Spanish),C2,5e7e0437-bdef-4fcf-92ca-f0a9e030a847,"verb:auxiliary, pronoun:indirect_object, pronoun:direct_object","animals_wild, greetings_goodbyes, money_banking, crime_law",Spanish,cards
Partitive article (Spanish),C1,9516d488-f5e3-4af5-987a-b9428a1207c1,"determiner:partitive_article, noun:genitive_case, verb:present_tense","town_city, countryside",Spanish,section
Demonstrative (Spanish),C1,170ba68a-705d-4464-a1b9-6fd3cf0862c5,determiner:demonstrative,"going_out, furniture_decor, beverages, hygiene_cosmetics",Spanish,cards
Indirect object (Spanish),A1,b69ea70d-07af-4ee1-bcbb-0288765e3170,"pronoun:indirect_object, noun:genitive_case, verb:passive_voice",bikes,Spanish,by_yourself
Interjections (Spanish),A1,3ca75e21-6129-4d74-9ad5-08bbfa34cb07,interjection,"adulthood, devices_tools_gadgets",Spanish,Live
Comparative (Spanish),A2,8bf1b715-e319-4da9-a815-1dd6c169fd6e,"adjective:comparative, pronoun:reflexive","nature_landscapes, emotions_states, media",Spanish,section
Imperfect aspect (Spanish),C2,4b72c360-9f9e-46c8-9528-48c4cb42cce2,"verb:imperfect_aspect, verb:gerund","money_banking, art_design",Spanish,cards
Gerund (Spanish),A1,df207dde-48de-4e18-95aa-15769c5a44ea,"verb:gerund, adjective:absolute_superlative, sentence:interrogative",outdoors,Spanish,cards
Nominative case (Spanish),B2,ce7c0182-eff5-4df1-ba73-2e4c5f1c3950,"noun:nominative_case, noun:appreciative_derivation, verb:future_tense","shapes, school_classroom",Spanish,by_yourself
Relative (Spanish),C1,2cdf6570-1039-44fe-8775-f9bb634b11f8,"pronoun:relative, noun:dative_case, interjection","housework, school_classroom",Spanish,by_yourself
Dative case (Spanish),A2,dc9e5ef2-d262-4f8f-bf33-6f1d6784b9df,"noun:dative_case, pronoun:adverbial, verb:finite",internet,Spanish,Live
Gender (Spanish),A2,5c18cbaf-3955-4199-b8dd-f76497c18370,"noun:gender, noun:definite_form, noun:dative_case","describing_objects, work_life, body, nations_geography, dishes",Spanish,cards
Relative (Spanish),B1,578e89ef-79ad-4abb-a5d0-a2c8a8aa775b,pronoun:relative,"planes_airports, music",Spanish,by_yourself
Participle (Spanish),C1,f3f867d4-b129-4048-8cf3-70656273b7b0,verb:participle,"dining_restaurants, shopping, routines_habits, film_tv, physical_appearance",Spanish,cards
Possessive (Spanish),C2,70e57f80-9872-4d03-ad31-f5644e5bde1f,"determiner:possessive, noun:singular","dishes, hygiene_cosmetics",Spanish,Live
Subjunctive mood (Spanish),C1,65a98ec3-a9c9-4417-a7e5-539f061d6aba,"verb:subjunctive_mood, sentence:interrogative, noun:definite_form","media, phones, boats_ships, measurement_quantities, housework",Spanish,section
Possessive (Spanish),C2,334d0595-66de-4478-b40b-7eb70d5b39f2,"determiner:possessive, verb:future_tense","boats_ships, routines_habits, natural_sciences",Spanish,section
Gender (Spanish),B1,1470f934-a96e-4779-a370-e82a6a79bbe9,"noun:gender, determiner:definite_article, pronoun:interrogative","animals_wild, routines_habits, housework",Spanish,by_yourself
Future tense (Spanish),C1,27c6acff-52f2-4076-a03a-ed0cd0b2ddac,verb:future_tense,"greetings_goodbyes, going_out, adulthood, hotels_accomodation, boats_ships",Spanish,section
Modal (Spanish),C2,ffed671b-35cf-4b5f-a43d-d2dc72f57b53,"verb:modal, adjective:absolute_superlative, adjective","planes_airports, appliances, death, numbers, year_season_month",Spanish,section
Passive voice (Spanish),C1,9fcc4747-0671-4a51-b431-042c86a11a87,verb:passive_voice,"non_understanding, compliments, hotels_accomodation, groceries_animal_products, outdoors",Spanish,section
Singular (Spanish),C1,000dc136-e1d0-48d7-9294-06b86b377752,"noun:singular, noun:indefinite_form, pronoun:indefinite","appliances, non_understanding",Spanish,cards
Accusative case (Spanish),A2,06b06d35-e69e-4c6c-9f21-506f1d918fe6,"noun:accusative_case, verb:past_tense, subjunction",public_transit_trains,Spanish,cards
Passive voice (Spanish),A1,6ce9fd77-e00b-41a2-a1b3-1c85a036e201,"verb:passive_voice, noun:plural, determiner:definite_article","university_academia, physical_appearance",Spanish,section
Indefinite article (Spanish),B1,dc62b164-5e0e-4e80-82a9-1228a1678912,determiner:indefinite_article,"measurement_quantities, childhood, hotels_accomodation, natural_sciences",Spanish,cards
Negation (Spanish),A2,11bd8586-5ce4-4323-99a0-48a707dd9321,"sentence:negation, adjective:comparative","work_life, groceries_grains, colors, death, boats_ships",Spanish,section
Adjectives 3 (Spanish),A1,cd613747-fb8d-43de-baff-cb478f2ddae9,adjective,languages,Spanish,section
Informal pronoun (Spanish),B1,e437d47a-f6aa-4858-a88e-1641bf3e4768,pronoun:informal_pronoun,dining_restaurants,Spanish,section
Imperative mood (Spanish),C2,4efd3759-db74-49ed-aca3-cd1b8c6444d0,"verb:imperative_mood, adverb, verb:subjunctive_mood","accidents_catastrophes, bikes",Spanish,section
Partitive article (Spanish),A2,8d084769-9dec-4ab3-8222-daad48cce3af,"determiner:partitive_article, verb:subjunctive_mood, pronoun:demonstrative","year_season_month, religions, physical_appearance, body, computers_hardware",Spanish,Live
Present tense (Spanish),A1,e2616095-8ae3-4b55-b181-ce3baf4654ec,"verb:present_tense, verb:auxiliary","university_academia, environmental_issues, animals_domesticated, identification",Spanish,section
Adjectives 4 (Spanish),C2,2563ff27-67c7-4449-958d-d865f76008d2,adjective,"media, emotions_states, appliances, film_tv",Spanish,cards
Informal pronoun (Spanish),B2,4903bcb3-dc7a-4c30-b665-19a400148c0a,"pronoun:informal_pronoun, determiner:indefinite_article","professions, accidents_catastrophes, public_transit_trains, year_season_month, non_understanding",Spanish,by_yourself
Indefinite form (Spanish),C1,77f0c00f-5a7a-4551-be8b-eab52131a345,"noun:indefinite_form, verb:imperative_mood","cars, numbers, locations_directions",Spanish,section
Finite (Spanish),C2,881215c2-23da-48a3-b9e9-e1b0d64c3bf0,"verb:finite, verb:subjunctive_mood",routines_habits,Spanish,Live
Participle (Spanish),C2,2a7e3d4e-071f-4cd6-a083-5f906f908440,"verb:participle, pronoun:indirect_object, verb:infinitive","argumentation, accidents_catastrophes, business, computers_hardware, traditions_celebrations",Spanish,section
Interrogative (Spanish),C1,bc9a59f2-415b-4663-a5a8-04cbebacca8d,pronoun:interrogative,"illness_injury, politics",Spanish,section
Accusative case (Spanish),A2,53db1240-8c5b-4adf-85d9-98fce05c58ac,"noun:accusative_case, verb:conditional_mood, adjective:absolute_superlative","shopping, public_transit_trains, hobbies_games, adulthood, shapes",Spanish,Live
Superlative (Spanish),B2,dbffadc7-7215-467b-90f1-781e2f699b9a,"adjective:superlative, pronoun:personal","love, numbers, literature, nature_landscapes, childhood",Spanish,section
Subjunction and comparatives (Spanish),B2,96e95000-8fde-4792-9326-c9c81004c0ff,"subjunction, adjective:comparative, pronoun:adverbial",animals_domesticated,Spanish,section
Reflexive (Spanish),B1,b1ee3ad9-8b61-412c-907f-e1680da66f76,pronoun:reflexive,"internet, numbers, shapes, physical_appearance, routines_habits",Spanish,section
Informal pronoun (Spanish),C2,a49e876d-66f3-4299-94c9-a71112cf1b29,"pronoun:informal_pronoun, interjection","nations_geography, personality_traits, boats_ships, internet",Spanish,cards
Accusative case (Spanish),B1,da92cbaf-1cb6-4867-b9f8-4d8d6f50e6d0,"noun:accusative_case, verb:progressive_aspect","senses, vacation",Spanish,Live
